year,birth.year,v,age,length,GSI,area,period
1998,1991,24,7,257,29.47592,FM,late
1998,1991,24,7,238,26.28419,FM,late
1998,1994,24,4,209,21.11639,FM,late
1998,1992,24,6,231,18.96183,FM,late
1998,1991,24,7,236,13.29237,FM,late
1998,1994,25,4,189,23.5433,FM,late
1998,1993,25,5,187,17.30623,FM,late
1998,1992,25,6,192,22.61426,FM,late
1998,1991,25,7,215,23.78193,FM,late
1998,1993,25,5,180,21.31391,FM,late
1998,1994,25,4,183,20.60922,FM,late
1998,1991,25,7,210,21.8678,FM,late
1998,1991,25,7,239,21.0061,FM,late
1998,1993,25,5,192,18.01354,FM,late
1998,1993,25,5,197,21.44488,FM,late
1998,1993,25,5,198,15.56609,FM,late
1998,1991,25,7,223,18.54689,FM,late
1998,1995,25,3,180,17.99645,FM,late
1998,1993,25,5,181,24.66262,FM,late
1998,1991,25,7,261,20.18509,FM,late
1998,1992,25,6,211,20.69185,FM,late
1998,1993,25,5,180,19.82856,FM,late
1998,1992,25,6,212,16.60245,FM,late
1998,1991,25,7,229,17.86755,FM,late
1998,1992,25,6,240,18.88978,FM,late
1998,1993,25,5,175,13.45316,FM,late
1998,1993,25,5,205,20.45223,FM,late
1998,1993,25,5,185,14.66544,FM,late
1998,1993,25,5,176,18.14642,FM,late
1998,1994,25,4,160,15.78045,FM,late
1998,1995,25,3,160,13.67137,FM,late
1998,1995,25,3,163,20.16673,FM,late
1998,1991,23,7,274,20.31116,FM,late
1998,1992,23,6,221,19.58672,FM,late
1998,1991,23,7,220,22.59103,FM,late
1998,1993,23,5,207,19.56038,FM,late
1998,1993,23,5,199,23.73159,FM,late
1998,1994,23,4,193,17.00921,FM,late
1998,1994,23,4,172,17.91838,FM,late
1998,1994,26,4,194,21.09528,FM,late
1998,1994,26,4,167,17.53522,FM,late
1998,1992,26,6,209,26.14575,FM,late
1998,1993,26,5,181,22.10592,FM,late
1998,1992,26,6,229,20.78037,FM,late
1998,1994,26,4,168,17.98439,FM,late
1998,1994,26,4,189,16.82868,FM,late
1998,1994,26,4,194,26.81273,FM,late
1998,1993,27,5,193,23.57281,FM,late
1998,1992,27,6,216,17.43704,FM,late
1998,1992,27,6,206,16.85931,FM,late
1998,1991,27,7,218,19.47628,FM,late
1998,1993,27,5,209,23.84609,FM,late
1998,1993,27,5,211,20.14013,FM,late
1998,1991,27,7,230,20.7463,FM,late
1998,1993,27,5,168,20.46997,FM,late
